year,geo,conv_count,pop_count,pct,index
2000,dk,110854,4951858,2.238634468112777,100
2002,dk,95074,4953023,1.9195146075437164,85.74488755915178
2004,dk,125123,4955604,2.5248789047712448,112.78656434249305
2005,dk,145559,4959310,2.9350655635562206,131.10963872679721
2006,dk,132262,4964224,2.6643036252997447,119.01467895943803
2007,dk,113725,4969384,2.288513022942079,102.22807946271597
2008,dk,112581,4977829,2.2616486022320172,101.0280434098132
2009,dk,116978,4985415,2.3464044618151148,104.81409516548676
2010,dk,121611,4992000,2.4361177884615386,108.82159741403628
2011,dk,130401,4998111,2.6090056823467904,116.54451494916206
2012,dk,134551,5000055,2.6909903991056097,120.20677950939348
2013,dk,134103,5001954,2.681012260408632,119.76105516988622
2014,dk,134886,5001165,2.697091577662405,120.47931969599834
2015,dk,129337,5002242,2.58558062564746,115.49811559129466
2016,dk,126230,5003378,2.5228955317787305,112.69796689522038
2000,west,2902,126006,2.303064933415869,100
2002,west,2472,129363,1.9109018807541571,82.97212349631576
2004,west,3200,133015,2.4057437131150623,104.45835365774518
2005,west,3959,135789,2.9155528061919593,126.59446826224124
2006,west,3922,140216,2.7971130256176187,121.45176564644164
2007,west,3207,147981,2.1671701096762424,94.0993924327583
2008,west,3356,157309,2.1333807983014323,92.63224702645428
2009,west,3872,173136,2.236392200351169,97.10504327961729
2010,west,4260,180252,2.363357965514946,102.61794755433367
2011,west,4890,189681,2.5780125579262023,111.93833575949313
2012,west,5338,199471,2.6760782269101777,116.19638630601096
2013,west,5464,210394,2.5970322347595465,112.76417773022447
2014,west,5955,221813,2.684693863750096,116.57048070147988
2015,west,6231,234213,2.6603988676973525,115.51558226156877
2016,west,6284,251325,2.5003481547796675,108.56611633051922
2000,nonwest,10903,252156,4.323910595028475,100
2002,nonwest,10774,285968,3.7675544116824256,87.13303221427071
2004,nonwest,14498,309021,4.691590539154297,108.50341227102547
2005,nonwest,16231,316306,5.13142336851024,118.67551966523597
2006,nonwest,16707,323019,5.1721415768112715,119.61721832912251
2007,nonwest,14436,329719,4.378273620871105,101.25726526133853
2008,nonwest,14966,340653,4.393326933859382,101.60540643256408
2009,nonwest,16903,352900,4.789742136582601,110.77338514098159
2010,nonwest,18082,362486,4.988330583801857,115.36618239834367
2011,nonwest,18878,372836,5.063352251392033,117.10122446134177
2012,nonwest,21042,380990,5.522979605763931,127.7311240457681
2013,nonwest,20844,390280,5.340780977759557,123.51737762340078
2014,nonwest,22011,404257,5.444803676868922,125.92313271068143
2015,nonwest,22043,423260,5.207910031659027,120.4444429921135
2016,nonwest,21751,452548,4.806340984823709,111.15727023472503
